id;name;type;lat;lng
340006;OS.KABATY;--;52.128869;21.068177
340302;WARCHAŁOWSKIEGO;--;52.145560;21.043530
340402;TARNINY;--;52.171370;21.010980
340701;DAWIDY;--;52.130585;20.985082
340702;DAWIDY;--;52.130479;20.985395
340901;OS.NOWY MOKOTÓW;--;52.184947;20.988576
340903;OS.NOWY MOKOTÓW;--;52.185414;20.989790
341002;SUWAK;--;52.183637;20.988691
341003;SUWAK;--;52.183139;20.989250
341101;DOMANIEWSKA OFFICE PARK;--;52.183188;20.993632
341102;DOMANIEWSKA OFFICE PARK;--;52.183242;20.992254
341201;PARK POSTĘPU;--;52.183252;20.998934
341202;PARK POSTĘPU;--;52.183308;20.995445
341301;TANECZNA;--;52.152438;21.014927
341302;TANECZNA;--;52.152669;21.015027
341401;SAMSONOWSKA;--;52.149523;21.015300
341402;SAMSONOWSKA;--;52.150390;21.015357
341501;KONDRACKA;--;52.146515;21.015256
341502;KONDRACKA;--;52.147087;21.015400
341601;FLAMENCO;--;52.144273;21.011310
341602;FLAMENCO;--;52.144166;21.010778
341951;KRASNOWOLA;--;52.142301;21.006083
342001;ŁUKASZCZYKA;--;52.147202;21.029412
342002;ŁUKASZCZYKA;--;52.146837;21.028642
342101;WIEDEŃSKA;--;52.130909;21.094455
342102;WIEDEŃSKA;--;52.131097;21.092514
342201;RÓW NATOLIŃSKI;--;52.131068;21.089514
342202;RÓW NATOLIŃSKI;--;52.131274;21.087819
342301;ROSNOWSKIEGO;--;52.130328;21.078775
342302;ROSNOWSKIEGO;--;52.130625;21.077756
342401;POZYTYWKI;--;52.110508;21.012505
342402;POZYTYWKI;--;52.110470;21.011023
342501;BUSKA;--;52.177508;21.068188
342502;BUSKA;--;52.177335;21.067630
343701;STRUMYKOWA;PS;52.085170;21.044840
343702;STRUMYKOWA;PS;52.085210;21.044970
343801;URBANISTÓW;PS;52.089850;21.049800
343802;URBANISTÓW;PS;52.089710;21.049720
343901;SREBRNYCH ŚWIERKÓW;JL;52.097507;21.053154
343902;SREBRNYCH ŚWIERKÓW;JL;52.096080;21.052910
344001;NADZIEI;JL;52.091883;21.050832
344002;NADZIEI;JL;52.093138;21.051303
344101;WARSZAWSKA;BI;52.111912;21.110819
344102;WARSZAWSKA;BI;52.112887;21.110236
344301;ŁUKOWA;--;52.175556;21.041980
344401;PUŁASKIEGO;KJ;52.084612;21.084400
344402;PUŁASKIEGO;KJ;52.084582;21.084785
344601;WENUS;JL;52.095380;21.052423
370001;DĘBOWA;UW;51.970085;21.045640
370002;DĘBOWA;UW;51.971497;21.045873
370102;ZGODA;PS;52.075906;21.028511
370301;NOWE WĄGRODNO;WĄ;51.952747;21.041157
370401;BIAŁY ŁUG;BU;51.948479;21.054567
370501;ŁAWKI;ŁW;51.949787;21.068172
370601;POLNA;GY;51.955418;21.076155
370701;AKACJOWA;GY;51.960266;21.075660
370901;CZARNEJ OLCHY;WŻ;51.942826;20.985956
371001;WOJEWÓDZKA;ZŁ;52.014360;20.901620
371002;WOJEWÓDZKA;ZŁ;52.014070;20.901506
371101;ZAWADZKA;ZŁ;52.019000;20.904250
371102;ZAWADZKA;ZŁ;52.019434;20.904730
371201;CISZYCA II;CI;52.106393;21.178223
371202;CISZYCA II;CI;52.106085;21.177394
371301;DOLNA;KJ;52.090530;21.075350
371302;DOLNA;KJ;52.090670;21.075350
371401;GŁOWACKIEGO;KJ;52.091830;21.076480
371402;GŁOWACKIEGO;KJ;52.091630;21.076840
371501;BIAŁOSTOCKA;KJ;52.086930;21.084290
371502;BIAŁOSTOCKA;KJ;52.087090;21.084050
371601;DĘBÓWKA;DĘ;52.049940;21.190840
371602;DĘBÓWKA;DĘ;52.050020;21.190870
371701;SKOLIMÓW PÓŁNOCNY;KJ;52.090020;21.079690
371702;SKOLIMÓW PÓŁNOCNY;KJ;52.090120;21.079610
371801;PARCELA II;PC;52.065910;21.154430
371802;PARCELA II;PC;52.066160;21.154620
371901;PARCELA I;PC;52.069660;21.153970
371902;PARCELA I;PC;52.069880;21.153990
372001;WÓLKA DWORSKA;WR;52.015090;21.201140
372002;WÓLKA DWORSKA;WR;52.015200;21.201428
372101;WÓLKA DWORSKA-WISŁA;WR;52.017950;21.219700
372102;WÓLKA DWORSKA-WISŁA;WR;52.017560;21.218950
372201;WIŚLANA;P3;52.033650;21.210760
372202;WIŚLANA;P3;52.032630;21.212120
372301;PODŁĘCZE;P3;52.037520;21.203960
372302;PODŁĘCZE;P3;52.037860;21.202900
372401;OBORSKA;KJ;52.079660;21.099700
372402;OBORSKA;KJ;52.080020;21.099670
372501;PIASECZYŃSKA;KJ;52.093660;21.117070
372701;KAWĘCZYN DOLNY;XW;52.049440;21.174190
372702;KAWĘCZYN DOLNY;XW;52.049540;21.174240
372801;DĘBÓWKA II;DĘ;52.044920;21.195790
372802;DĘBÓWKA II;DĘ;52.045080;21.195670
372902;MOSTOWA;ŻB;52.060550;21.043520
373001;POLNA;ŻB;52.058870;21.046940
373002;POLNA;ŻB;52.059580;21.049120
373101;TURKAWKI;JA;52.058340;21.065070
373201;KUKUŁCZA;JA;52.060960;21.072850
373301;SIKORECZKI;JA;52.065800;21.087290
373401;STAROCHYLICKA;P4;52.077650;21.058000
373501;TRZECIAKOWSKICH;P4;52.071790;21.056570
373601;KRÓLIKA;SD;52.066890;21.052400
373701;GOŁĘBIA;SD;52.063047;21.051112
373801;STEFANÓW;ŻB;52.052110;21.061730
373802;STEFANÓW;ŻB;52.051670;21.062960
373901;PILAWA;PI;52.039620;21.087820
